Unnamed: 0,Sl. No.,Project,Cell Name,Test Protocol,Temperature (℃),Pressure (PSI),Tester (Aging),Neware Rack,Channel,Start Date (Aging),Last Updated,Removal Date,User,Remarks,X2,X1,C,Temperature (C),combined,Channel Number,Log Consistency
243,244,GMFEB23S,1,Formation,,10,R-Arbin,,49,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
440,441,UMBL2022FEB,152052,N,25,5,R-Arbin,-,1,6/23/2023,9/6/2023 20:47,,,,1.747880155,-29.3363606,150.0197734,,,,Not in log file
242,243,GMFEB23S,1,1G,25,25,L-Arbin,,15A,5/31/2023,9/6/2023 20:48,,,,1.79217608,-30.13984413,153.6225147,,,,Not in log file
432,433,UMBL2022FEB,152056,16c,25,5,R-Arbin,-,2,6/23/2023,9/6/2023 20:47,,,,1.895326477,-31.39133243,156.8922052,,,,Not in log file
357,358,GMFEB23S,2,Formation,,10,R-Arbin,,48,2/27/2023,3/22/2023 15:38,3/6/2023,,,1.83476023,-30.55709896,154.1317365,25,,,Not in log file
428,429,UMBL2022FEB,152058,5,25,5,R-Arbin,-,3,6/23/2023,9/6/2023 20:47,,,,1.847516943,-30.62774856,153.8449392,,,,Not in log file
356,357,GMFEB23S,2,,,,,,3632,,3/22/2023 15:38,,,,1.837917785,-30.19969839,150.8609995,,,,Not in log file
444,445,UMBL2022FEB,152050,4,25,5,R-Arbin,-,4,6/23/2023,9/6/2023 20:47,,,,1.828755138,-30.4725686,153.8344981,,,,Not in log file
355,356,GMFEB23S,3,Formation,,15,R-Arbin,,58,2/27/2023,3/22/2023 15:42,3/6/2023,,Tear in the tab,,,,,,,
398,399,UMBL2022FEB,152076,N,25,5,R-Arbin,-,5,6/23/2023,9/6/2023 20:47,,,,1.769030719,-29.53647857,150.1799348,,,,Not in log file
354,355,GMFEB23S,3,,,,,,,,3/22/2023 15:42,,,Tear in the tab,,,,,,,
400,401,UMBL2022FEB,152075,7,25,5,R-Arbin,-,6,6/23/2023,9/6/2023 20:47,,,,1.95066249,-32.20027614,159.8110762,,,,Not in log file
353,354,GMFEB23S,4,Formation,,10,R-Arbin,,45,2/27/2023,9/7/2023 21:20,3/6/2023,,,1.940072979,-32.27568637,161.1485387,25,,,Not in log file
352,353,GMFEB23S,4,14,45,15,Neware,34,3423,,9/7/2023 21:20,,,,2.506616217,-40.2048805,188.1570383,,3423,3423,Not in log file
268,269,GMFEB23S,5,18,25,15,L-Arbin,,2,5/31/2023,9/6/2023 20:17,,,,1.895326477,-31.39133243,156.8922052,,,,Not in log file
269,270,GMFEB23S,5,Formation,,10,R-Arbin,,35,2/27/2023,9/6/2023 20:17,3/6/2023,,,1.822464634,-30.4303002,153.9388701,25,,,Not in log file
438,439,UMBL2022FEB,152053,5,25,5,R-Arbin,-,10,6/23/2023,9/6/2023 20:47,,,,1.8785074,-31.18830464,156.3704436,,,,Not in log file
349,350,GMFEB23S,6,Formation,,15,R-Arbin,,40,2/27/2023,3/22/2023 16:11,3/6/2023,,,1.843404325,-30.90412352,156.4351407,25,,,Not in log file
424,425,UMBL2022FEB,152060,8,25,5,R-Arbin,-,11,1/19/2023,9/6/2023 20:47,,,,1.922502387,-31.87392095,159.0907774,,,,Not in log file
348,349,GMFEB23S,6,,,,,,,,3/22/2023 16:11,,,,,,,,,,Not in log file
434,435,UMBL2022FEB,152055,7,25,5,R-Arbin,-,12,6/23/2023,9/6/2023 20:47,,,,1.818841198,-30.34961127,153.5377252,,,,Not in log file
347,348,GMFEB23S,7,Formation,,15,R-Arbin,,52,2/27/2023,3/22/2023 15:38,3/6/2023,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
382,383,UMBL2022FEB,152086,6,25,5,R-Arbin,-,13,6/23/2023,9/6/2023 20:47,,,,1.883194025,-31.21360756,156.2468012,,,,Not in log file
346,347,GMFEB23S,7,,,,,,3633,,3/22/2023 15:38,,,,1.67175828,-27.43773175,139.4080524,,,,Not in log file
390,391,UMBL2022FEB,152082,7,25,5,R-Arbin,-,14,6/23/2023,9/6/2023 20:47,,,,1.91179522,-31.6649176,158.044558,,,,Not in log file
368,369,UMBL2022FEB,152093,N,25,5,R-Arbin,-,15,6/23/2023,9/6/2023 20:47,,,,1.590161035,-26.86724553,140.3933183,,,,Not in log file
376,377,UMBL2022FEB,152089,8,25,5,R-Arbin,-,16,6/23/2023,9/6/2023 20:47,,,,1.627236902,-27.56739193,143.6519154,,,,Not in log file
226,227,GMFEB23S,8,4,25,15,L-Arbin,,11,5/31/2023,9/6/2023 20:47,,,,1.922502387,-31.87392095,159.0907774,,,,Not in log file
392,393,UMBL2022FEB,152079,7,25,5,R-Arbin,-,17,6/23/2023,9/6/2023 20:47,,,,1.52456134,-25.909995,136.8998213,,,,Not in log file
227,228,GMFEB23S,8,Formation,,15,R-Arbin,,33,2/27/2023,9/6/2023 20:47,3/6/2023,,,1.816647783,-30.19958302,152.3994285,25,,,Not in log file
418,419,UMBL2022FEB,152063,9,25,5,R-Arbin,-,18,6/23/2023,9/6/2023 20:47,,,,1.671868073,-28.17079029,145.5794273,,,,Not in log file
350,351,GMFEB23S,9,7,25,15,L-Arbin,,8,5/31/2023,9/6/2023 20:48,,,,1.867184915,-31.09211884,156.3540163,,,,Not in log file
420,421,UMBL2022FEB,152062,4,25,5,R-Arbin,-,19,6/23/2023,9/6/2023 20:47,,,,1.727965617,-28.96270574,148.2546664,,,,Not in log file
351,352,GMFEB23S,9,Formation,,15,R-Arbin,,44,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.847895287,-30.40041603,151.9303668,25,,,Not in log file
426,427,UMBL2022FEB,152059,16b,25,5,R-Arbin,-,20,6/23/2023,9/6/2023 20:47,,,,1.892163513,-31.45986318,157.6454768,,,,Not in log file
341,342,GMFEB23S,10,Formation,,15,R-Arbin,,42,2/27/2023,3/22/2023 15:38,3/6/2023,,,1.88629733,-31.41687362,157.7109357,25,,,Not in log file
408,409,UMBL2022FEB,152069,8,25,5,R-Arbin,-,22,1/19/2023,9/6/2023 20:47,,,,1.513558924,-25.88066491,137.4976656,,,,Not in log file
340,341,GMFEB23S,10,,,,,,,,3/22/2023 15:38,,,,,,,,,,Not in log file
422,423,UMBL2022FEB,152061,9,25,5,R-Arbin,-,23,1/19/2023,9/6/2023 20:47,,,,1.756226596,-29.37920884,149.7682094,,,,Not in log file
211,212,GMFEB23S,11,Formation,,10,R-Arbin,,53,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.928325991,-31.98214624,159.5323822,25,,,Not in log file
414,415,UMBL2022FEB,152066,9,25,5,R-Arbin,-,24,1/19/2023,9/6/2023 20:47,,,,1.833756098,-30.59121695,154.5090446,,,,Not in log file
210,211,GMFEB23S,11,7,25,15,L-Arbin,,Channel,5/31/2023,9/6/2023 20:48,,,,,,,,,,Not in log file
396,397,UMBL2022FEB,152077,16,25,5,R-Arbin,-,25,6/23/2023,9/6/2023 20:47,,,,1.774076138,-29.73437333,151.510467,,,,Not in log file
337,338,GMFEB23S,12,Formation,,25,R-Arbin,,36,2/27/2023,9/7/2023 21:20,3/6/2023,,,2.099528211,-34.59947294,169.4758533,25,,,Not in log file
410,411,UMBL2022FEB,152068,7,25,5,R-Arbin,-,26,6/23/2023,9/6/2023 20:47,,,,1.910700854,-31.67813767,158.2418039,,,,Not in log file
336,337,GMFEB23S,12,1E,45,25,Neware,34,3417,,9/7/2023 21:20,,,,2.032425524,-32.89239506,159.9420646,,3417,3417,Not in log file
412,413,UMBL2022FEB,152067,4,25,5,R-Arbin,-,27,6/23/2023,9/6/2023 20:47,,,,1.417491743,-24.32174684,131.236256,,,,Not in log file
406,407,UMBL2022FEB,152070,6,25,5,R-Arbin,-,28,6/23/2023,9/6/2023 20:47,,,,1.781877184,-29.75132746,151.0967902,,,,Not in log file
335,336,GMFEB23S,13,Formation,,10,R-Arbin,,46,2/27/2023,7/28/2023 11:02,3/6/2023,,,1.910984308,-31.64054801,157.9148771,25,,,Not in log file
334,335,GMFEB23S,13,,,,,,,,7/28/2023 11:02,,,,,,,,,,Not in log file
333,334,GMFEB23S,14,Formation,,10,R-Arbin,,47,2/27/2023,3/22/2023 15:38,3/6/2023,,,1.852667795,-30.84577741,155.2861083,25,,,Not in log file
332,333,GMFEB23S,14,,,,,,,,3/22/2023 15:38,,,,,,,,,,Not in log file
331,332,GMFEB23S,15,Formation,,10,R-Arbin,,39,2/27/2023,7/29/2023 2:59,3/6/2023,,,1.823817956,-30.41269242,153.7342641,25,,,Not in log file
330,331,GMFEB23S,15,,,15,Neware,37,3722,5/1/2023,7/29/2023 2:59,,,,2.047778819,-33.3213546,162.4578716,,3722,3722,Not in log file
329,330,GMFEB23S,16,Formation,,15,R-Arbin,,50,2/27/2023,3/22/2023 15:38,3/6/2023,,,1.826264999,-30.76022521,156.4446575,25,,,Not in log file
369,370,UMBL2022FEB,152093,Formation,,5,R-Arbin,,33,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.816647783,-30.19958302,152.3994285,25,,,Not in log file
328,329,GMFEB23S,16,,,,,,3531,,3/22/2023 15:38,,,,2.080238344,-33.67300706,163.1608555,,,,Not in log file
327,328,GMFEB23S,17,Formation,,15,R-Arbin,,51,2/27/2023,9/7/2023 21:20,3/6/2023,,,1.918205056,-32.13625124,161.5361448,25,,,Not in log file
399,400,UMBL2022FEB,152076,Formation,,5,R-Arbin,,34,6/16/2023,9/6/2023 20:47,6/23/2023,,,3.231549156,-51.04427368,228.524237,25,,,Not in log file
326,327,GMFEB23S,17,1D,45,15,Neware,34,3412,,9/7/2023 21:20,,,,2.083720975,-33.85139484,164.3671028,,3412,3412,Not in log file
230,231,GMFEB23S,18,5,25,15,L-Arbin,,13,5/31/2023,9/6/2023 20:48,,,,1.883194025,-31.21360756,156.2468012,,,,Not in log file
231,232,GMFEB23S,18,Formation,,15,R-Arbin,,64,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.907836086,-31.70799028,158.653875,25,,,Not in log file
375,376,UMBL2022FEB,152090,Formation,,5,R-Arbin,,35,6/16/2023,6/23/2023 12:19,6/23/2023,,,1.822464634,-30.4303002,153.9388701,25,,,Not in log file
252,253,GMFEB23S,19,7,25,15,L-Arbin,,17,5/31/2023,9/6/2023 20:48,,,,1.52456134,-25.909995,136.8998213,,,,Not in log file
253,254,GMFEB23S,19,Formation,,10,R-Arbin,,63,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.785130729,-29.80067662,151.2604771,25,,,Not in log file
321,322,GMFEB23S,20,Formation,,15,R-Arbin,,61,2/27/2023,3/22/2023 15:42,3/6/2023,,,1.845822326,-30.80733801,155.4559428,25,,,Not in log file
393,394,UMBL2022FEB,152079,Formation,,5,R-Arbin,,36,6/16/2023,9/6/2023 20:47,6/23/2023,,,2.099528211,-34.59947294,169.4758533,25,,,Not in log file
320,321,GMFEB23S,20,,,,,,,,3/22/2023 15:42,,,,,,0,,,,Not in log file
319,320,GMFEB23S,21,Formation,,15,R-Arbin,,62,2/27/2023,3/22/2023 15:42,3/6/2023,,,1.814583898,-30.22374148,152.7540366,25,,,Not in log file
318,319,GMFEB23S,21,,,,,,3536,,3/22/2023 15:42,,,,2.050898835,-33.27757078,161.9763773,,,,Not in log file
377,378,UMBL2022FEB,152089,Formation,,5,R-Arbin,,37,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.955568866,-32.42913378,161.3511744,25,,,Not in log file
5,6,GMJULY2022,103,Formation,,,R-Arbin,,38,7/11/2022,9/6/2023 20:49,7/15/2022,,,1.994026232,-32.72296374,161.1622424,25,,,Not in log file
304,305,GMFEB23S,22,8,25,15,L-Arbin,,27,5/31/2023,9/6/2023 20:48,,,,1.417491743,-24.32174684,131.236256,,,,Not in log file
305,306,GMFEB23S,22,Formation,,5,R-Arbin,,59,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.930087506,-31.92672574,158.9450991,25,,,Not in log file
419,420,UMBL2022FEB,152063,Formation,,5,R-Arbin,,38,6/16/2023,9/6/2023 20:47,6/23/2023,,,1.994026232,-32.72296374,161.1622424,25,,,Not in log file
423,424,UMBL2022FEB,152061,Formation,,5,R-Arbin,,38,9/2/2022,9/6/2023 20:47,9/9/2022,,,1.994026232,-32.72296374,161.1622424,25,,,Not in log file
3,4,GMJULY2022,104,Formation,,,R-Arbin,,39,7/11/2022,8/18/2023 17:32,7/15/2022,,,1.823817956,-30.41269242,153.7342641,25,,,Not in log file
290,291,GMFEB23S,23,5,25,15,L-Arbin,,24,5/31/2023,9/6/2023 20:48,,,,1.833756098,-30.59121695,154.5090446,,,,Not in log file
291,292,GMFEB23S,23,Formation,,10,R-Arbin,,57,2/27/2023,9/6/2023 20:48,3/6/2023,,,1.796521968,-29.91984024,151.4679867,25,,,Not in log file
338,339,GMFEB23S,24,4,25,15,L-Arbin,,5,5/31/2023,9/6/2023 14:02,,,,1.769030719,-29.53647857,150.1799348,,,,Not in log file
361,362,UMBL2022FEB,152097,Formation,,5,R-Arbin,,39,9/2/2022,9/7/2023 21:50,9/9/2022,,,1.823817956,-30.41269242,153.7342641,25,,,Not in log file
